Week_Number;Customer;Volume
7;maginus;178
8;maginus;101
9;maginus;56
10;maginus;81
11;maginus;143
12;maginus;106
13;maginus;146
14;maginus;164
15;maginus;104
16;maginus;44
17;maginus;72
1;manning;71
2;manning;294
3;manning;312
4;manning;243
5;manning;333
6;manning;185
7;manning;177
8;manning;168
9;manning;121
10;manning;179
11;manning;146
12;manning;227
13;manning;247
14;manning;842
15;manning;391
16;manning;70
17;manning;143
1;microhm;12172
2;microhm;18263
3;microhm;17876
4;microhm;16815
5;microhm;15929
6;microhm;16800
7;microhm;15402
8;microhm;14215
9;microhm;16388
10;microhm;16011
11;microhm;16896
12;microhm;15890
13;microhm;16415
14;microhm;17832
15;microhm;17291
16;microhm;14682
17;microhm;19158
1;mitzvah;17467
2;mitzvah;29150
3;mitzvah;32388
4;mitzvah;27276
5;mitzvah;31259
6;mitzvah;33347
7;mitzvah;24396
8;mitzvah;22377
9;mitzvah;24512
10;mitzvah;36773
11;mitzvah;25144
12;mitzvah;21417
13;mitzvah;27582
14;mitzvah;26227
15;mitzvah;23788
16;mitzvah;33136
17;mitzvah;21552
1;mizoram;6
2;mizoram;3
3;mizoram;47
8;mizoram;23
14;mizoram;18
15;mizoram;51
16;mizoram;13
1;mortise;11423
2;mortise;12434
3;mortise;13133
4;mortise;18950
5;mortise;10370
6;mortise;9760
7;mortise;7272
8;mortise;15768
9;mortise;61824
10;mortise;37895
11;mortise;20733
12;mortise;22348
13;mortise;17267
14;mortise;10393
15;mortise;9812
16;mortise;5383
17;mortise;16718
1;murther;38
2;murther;14
3;murther;16
4;murther;24
5;murther;44
7;murther;53
8;murther;1
9;murther;53
10;murther;44
11;murther;28
12;murther;5
13;murther;44
14;murther;62
16;murther;27
17;murther;65
2;natalia;9
5;natalia;104
6;natalia;38
7;natalia;40
9;natalia;30
10;natalia;44
13;natalia;5
15;natalia;31
16;natalia;16
17;natalia;6
1;neuston;164334
2;neuston;112601
3;neuston;103396
4;neuston;96874
5;neuston;116423
6;neuston;102365
7;neuston;84566
8;neuston;59472
9;neuston;75214
10;neuston;72605
11;neuston;78661
12;neuston;108511
13;neuston;81563
14;neuston;81009
15;neuston;87991
16;neuston;128131
17;neuston;145286
1;nonplus;104728
2;nonplus;142373
3;nonplus;203291
4;nonplus;107456
5;nonplus;88915
6;nonplus;114722
7;nonplus;180360
8;nonplus;112640
9;nonplus;108252
10;nonplus;105095
11;nonplus;135233
12;nonplus;145510
13;nonplus;103999
14;nonplus;92710
15;nonplus;103985
16;nonplus;137779
17;nonplus;113991
1;nonsane;27
2;nonsane;41
4;nonsane;45
6;nonsane;50
7;nonsane;109
8;nonsane;10
9;nonsane;37
10;nonsane;18
11;nonsane;77
12;nonsane;37
13;nonsane;16
14;nonsane;21
15;nonsane;101
16;nonsane;30
17;nonsane;25
2;oceanog;39
3;oceanog;61
5;oceanog;10
6;oceanog;6
7;oceanog;23
8;oceanog;39
9;oceanog;30
10;oceanog;43
13;oceanog;76
